title,issn,cn,sponsor,compound_if,comprehensive_if,tags,categories,major_categories,detail_url
"安徽教育","1005-6149","34-1007/G4","中共安徽省委教育工委;安徽省教育厅","","","","教育综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOQ8gGebsw7aI_D23FAFisXzvIk24yOpfTin6PkE7d5yPRIhw-EAni5hB4ejjdyF6fEV98ummHQ0xiBPgNcPPzoBnIINhAxaty1J_jzyyezSw==&uniplatform=NZKPT&language=CHS"
"安徽教育科研","2096-5885","34-1331/G4","安徽教育出版社","","","","初等教育|中等教育","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINYhEwYnUpaqZHKz4HWja8_50krP3oBokRP9sQ7IFwFxeCeEDROaNmYbqY3KCA-EW6hZpPKuFCHh3e4gPqPH7NEj12j4BUONXHwEn_jPQmdow==&uniplatform=NZKPT&language=CHS"
"安徽教育学院学报(自然科学版)","1001-5116","34-1046/C","安徽教育学院","","","","基础科学综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPp2nAgY2-FgFYNq2Gac5QpLyj4_KngoeO1eBdN0SdG2PiVMnsTt0cPPKZpLtxTc_1iAkMQU1D3yFv02nsgAVfVOx-hvqoMwctISXRkKp3hyA==&uniplatform=NZKPT&language=CHS"
"安徽警官职业学院学报","1671-5101","34-1247/Z","安徽警官职业学院","0.301","0.120","","政治军事法律综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMSdAxe-pk1O9hs4WCkaitZjFYpL6msi1Y5czJPnzVOe_11ou2HpdOHJEZOdzdPnpE4xwFuTSaonCVtqNUuqyCcGDCFanw5zLh15-edzdu4ww==&uniplatform=NZKPT&language=CHS"
"安徽开放大学学报","2097-0625","34-1338/G4","安徽开放大学","0.650","0.358","网络首发","教育综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPgq1ilXaRo5WQetq28JJz2Xoe_RYGuJueVZxfd9s4tqoREvR5q9-UQvsxjOhe1cacn4WM-_3JdjKAkJ5BSJ45Fap74mIcn8EXero71b3ug5g==&uniplatform=NZKPT&language=CHS"
"安徽科技","1007-7855","34-1164/N","安徽省科学技术情报研究所","0.217","0.150","","基础科学综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPp2nAgY2-FgFYNq2Gac5QpLyj4_KngoeO1eBdN0SdG2PiVMnsTt0cPPKZpLtxTc_3lt04GTY2Bvz1plB0Y_Sey-GZHl827-leSZBLycE_E_g==&uniplatform=NZKPT&language=CHS"
"安徽科技学院学报","1673-8772","34-1300/N","安徽科技学院","1.254","1.041","网络首发","农业综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPmUCJl0NJUb-1-iH6EcS9WdjHpuh8RzQNWzaRtcN0_pZTGQd98ICk7YcNH5nmRj65E78WJ3et9UZ_4xpPDhFnPH0v7441HTxSkKwmRP2rM9w==&uniplatform=NZKPT&language=CHS"
"安徽理工大学学报(社会科学版)","1672-1101","34-1217/C","安徽理工大学","0.487","0.243","","教育综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO_XWK7injLB5yQBpERWvRjYCM7cdZHc1TeU1WumyyWTBU6QiBjlS9SIWB7xWBkOwLCrMmrw_tcxCLhsPbchMw54qI6jEa2HxcO2Do8F3GXwg==&uniplatform=NZKPT&language=CHS"
"安徽理工大学学报(自然科学版)","1672-1098","34-1220/N","安徽理工大学","0.634","0.395","网络首发","综合科技a类综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPE-3XN8q3pdJJ5uab6_o__MS9dvIhk7glzFTPVglp6EbCIE8rfTF9EM0AmALHfSH6lLiO4x-7lKMymxgSNyFbqsmsj0iwOweWT275ItBmxlg==&uniplatform=NZKPT&language=CHS"
"安徽林业科技","2095-0152","34-1314/S","安徽省林业科学研究院;安徽省林学会","0.574","0.406","网络首发","林业|农业经济","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMDFDH_nsECHRxDWigYCmGOik3wNiMbwIU2RU9MMNp8-Jxplyv_7F4bufaaDOg0GsbngWZLAb66XmOa3yEogrJLysSCqgNcDvHy2EQ5_pdmKQ==&uniplatform=NZKPT&language=CHS"
