title,issn,cn,sponsor,compound_if,comprehensive_if,tags,category,detail_url
"建筑节能(中英文)","2096-9422","21-1612/TU","中国建筑东北设计研究院有限公司;中国建筑节能协会","1.103","0.699","网络首发|增强出版|混合OA期刊","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCIk65wcJsWl4SbVjkWzd0NPk4svvDVrm23_mx7RCfj2qw==&uniplatform=NZKPT&language=CHS"
"工程勘察","1000-1433","11-2025/TU","中国建筑学会工程勘察分会;建设综合勘察研究设计院","1.080","0.796","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCIhtW7Dcv7-4aKU4WXUhJPwlDcvdWsdDjC4mnNIGI_pUA==&uniplatform=NZKPT&language=CHS"
"世界建筑","1002-4832","11-1847/TU","清华大学","0.899","0.542","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCInOaVgnWQsw-EQ9iQMFgu2W3mATcndf3Jhmnt-gocV3Q==&uniplatform=NZKPT&language=CHS"
"广州建筑","1671-2439","44-1229/TU","广州市建筑科学研究院集团有限公司","0.888","0.814","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCKq_vSwJS6z17HuhENhAM7W4TEIUUP1XDhdIi-mgrVGvg==&uniplatform=NZKPT&language=CHS"
"高等建筑教育","1005-2909","50-1025/G4","重庆大学","0.870","0.795","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCLEA4hzezz3XVJp_YJB2up9aHakzwCl0_jkp8JXn-DATA==&uniplatform=NZKPT&language=CHS"
"防护工程","1674-1854","41-1365/TU","军事科学院国防工程研究院","0.868","0.654","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCL4M_mXDvRthViPLa4uq_QKY8n4ZZOqQD83V1HaOFnMOA==&uniplatform=NZKPT&language=CHS"
"地基处理","2096-7195","33-1416/TU","浙江大学","0.859","0.662","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCKv4YiLKsU1iELRZu9QjNamGWdx6Ar57TJaAuXHJ2E1SA==&uniplatform=NZKPT&language=CHS"
"钢结构(中英文)","2096-6865","10-1609/TF","中冶建筑研究总院有限公司;中国钢结构协会","0.838","0.585","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCLWMxr-yZNgN7n8X16xivyFbzJoDHakRvA_lmcXNBgMzA==&uniplatform=NZKPT&language=CHS"
"景观设计","1672-7460","21-1507/TU","大连理工大学出版社","0.829","0.500","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCJKH9UTTrD5_0TKBQACM5jfPorgdRsAIbSap00_XxEa_w==&uniplatform=NZKPT&language=CHS"
"景观设计学(中英文）","2096-336X","10-1467/TU","高等教育出版社有限公司;北京大学","0.816","0.575","混合OA期刊","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCIKwvlr_u8Iutf-Wqn_yLI35ncDY2kxWlF5vzz66sGITA==&uniplatform=NZKPT&language=CHS"
"岩土工程技术","1007-2993","11-3813/TU","国防机械工业工程勘察科技情报网;中兵勘察设计研究院有限公司","0.783","0.585","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCINhYheRxWnwzSvbLfMofYdb2zi7xMirIFuHeSxNnpQUg==&uniplatform=NZKPT&language=CHS"
"工程抗震与加固改造","2097-664X","11-5260/P","中国建筑学会;中国建筑科学研究院有限公司","0.774","0.491","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCJ9bgPKSgM9LzQ3dSKMUVaTQ12-h4jf1fj52Jl73giHdg==&uniplatform=NZKPT&language=CHS"
"建筑遗产","2095-7289","10-1071/TU","中国科技出版传媒股份有限公司;同济大学","0.747","0.558","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCKOd0hcQmmP9MRAK-JP_iU77Tm_j3p5yggEWjcWEm1Qlw==&uniplatform=NZKPT&language=CHS"
"安徽建筑大学学报","2095-8382","34-1325/TU","安徽建筑大学","0.737","0.331","","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCIVsYlLAkoN10byaT35KEt5P1r0190mGzD7KMH-HNZSgA==&uniplatform=NZKPT&language=CHS"
"建筑师","1001-6740","11-5142/TU","中国建筑出版传媒有限公司","0.733","0.552","网络首发|增强出版","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCK6rdcK_ApFABScJdXcI2tVSvE_hKaQang4117vemG9Dg==&uniplatform=NZKPT&language=CHS"
"中国医院建筑与装备","1671-9174","11-4851/T","国家卫生健康委医院管理研究所","0.714","0.561","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINI6-fm339XBaSUm14uCMFsIsNaZIg87oJPXvJoavNqKgJVTFYsmZxpX923kwpGDCJTlDyWptApqmNuBMZZe_CCt28c8n6NNVu7ExauEcbkaw==&uniplatform=NZKPT&language=CHS"
"吉林建筑大学学报","2095-8919","22-1413/TU","吉林建筑大学","0.690","0.342","网络首发","建筑科学与工程","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM1uby0tBOnCR7Lg3LC5iPsSdW4VQmUp2I8bELkZgJ3p_12PFa_sD5fmPbc2ZRaiS_95Z-9BPPkrRkiOiPxnTNf-ax9OOHPqBIk6XZdmgkbZA==&uniplatform=NZKPT&language=CHS"
