title,issn,cn,sponsor,compound_if,comprehensive_if,tags,major_categories,detail_url
"唐都学刊","1001-0300","61-1056/C","西安文理学院","0.206","0.079","","医药卫生科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPcwfbpM3kw_XBJa4YL5O1TTzByU01rA40HrwBkwkM8fvzho8Edr-MUhBejOvrmd8nF1WvLHmfwAwA48iLhJwge3FsOFHcDGILUqoiB82XSTg==&uniplatform=NZKPT&language=CHS"
"唐山学院学报","1672-349X","13-1336/G4","唐山学院","0.306","0.133","网络首发","医药卫生科技|社会科学II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMhuBAIbp9chSzU2STfxyouBOi_K8mPsJr2j5bTeo1CXyDUCV695mPzrokDaNWvD7iHnPN74e3w5aXsK0u9AqAK1v7pSNvjz3x208jknDWIbw==&uniplatform=NZKPT&language=CHS"
"唐诗之路研究","","","中国唐代文学学会唐诗之路研究会","","","","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMHQjOjGkWZbz91dwxlIricZpTensci9l6hLfQDoH8prbEgdyjkzGAFGCEVwqf4-18O8rYy9-dNgApkFX_QRj7BvBbfR8HJ6dBHOKMZD9K1iQ==&uniplatform=NZKPT&language=CHS"
"唐史论丛","","","陕西师范大学唐史研究所;中国唐史学会","","","","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMHQjOjGkWZbz91dwxlIricZpTensci9l6hLfQDoH8prbEgdyjkzGAFGCEVwqf4-1-O5EJkuySFjOFiBToL8YWDmFVlKuesKy64icKSI3cNpg==&uniplatform=NZKPT&language=CHS"
"唐宋历史评论","","","中国人民大学唐宋史研究中心","","","","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMHQjOjGkWZbz91dwxlIricZpTensci9l6hLfQDoH8prbEgdyjkzGAFGCEVwqf4-18UQlqWhta3VT8Cb_oDuO5qz9ktfEzo6j_aPuLkgoocLA==&uniplatform=NZKPT&language=CHS"
"唐廷枢研究","","","澳门科技大学","","","","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMHQjOjGkWZbz91dwxlIricZpTensci9l6hLfQDoH8prbEgdyjkzGAFGCEVwqf4-18Qr5d1pMHE-ltKMIZInbGfJN4PufT5_7SavtytLm2Gww==&uniplatform=NZKPT&language=CHS"
"唐研究","","","唐研究基金会;北京大学中国古代史研究中心","","","","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMHQjOjGkWZbz91dwxlIricZpTensci9l6hLfQDoH8prbEgdyjkzGAFGCEVwqf4-19TrU2yfBFxNAlCXUv9RXkEfEOFV8dlbd26Aoxf51sqhg==&uniplatform=NZKPT&language=CHS"
"陶瓷","1002-2872","61-1143/TU","咸阳陶瓷研究设计院有限公司","0.222","0.119","","工程科技I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINT4-kfAWe582SSK5ZWUDUuDeGF1i3FFsEwyt8ky6Gh5SY2jiTg7NC7pv89yONtOsOVSCN_3wSlEwtSTZJo9uytbsz1_1KOHcX3SqRixDGfbQ==&uniplatform=NZKPT&language=CHS"
"陶瓷科学与艺术","1671-7643","43-1375/TS","湖南湘瓷科艺股份有限公司","0.049","0.023","","工程科技I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMvBmAzITbAvdcAyDjax1lyA5sZY8CzemI5bQJRwUDiskMkhAL2AKmzLOALrWH_lKf-LTZ4HppbE5W5tCk6T7RY36ZS2ik3g-OQFffhjXYWug==&uniplatform=NZKPT&language=CHS"
"陶瓷研究","1000-9892","36-1136/TQ","江西省陶瓷研究所","0.112","0.061","","工程科技II","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINgadWE0Q_MFtZG9r1WAX5EbaQAzY72Fca2wBtktpNu4WeNokvD0UDVb4OWSwKxprrjwH5-dymXtFvHlO3Pkm0cLpQh7wQB396VGp7ztZN3CA==&uniplatform=NZKPT&language=CHS"
"特产研究","1001-4721","22-1154/S","中国农业科学院特产研究所","1.801","1.125","网络首发","农业科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINtRKjZ232QtEyiOTB0dz2UE0ADZ04Ji5863hmJ0K8WYSHYqBdDjHdpd2lQGNJPimbIeU_o8PdTqhDe454ONtB-RRLqPLXp8-Zb3SXeewUcQA==&uniplatform=NZKPT&language=CHS"
"特区经济","1004-0714","44-1032/F","深圳市深投教育有限公司","0.700","0.234","网络首发","社会科学II|经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOQEZMjpjwhaZklBnosk53oMaFLzte0puEhICw37wz_loQM4ivoIDeJuCNkITWaT1WlYUfXOGnavh-cMTmSoa1TuKyxcZ3AndXFyF2hGnNJMg==&uniplatform=NZKPT&language=CHS"
"特区实践与理论","1673-5706","44-1629/D","中共深圳市委党校(深圳行政学院;深圳经济管理学院)","0.689","0.397","网络首发","社会科学II|经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPbkqXTCG0mTJh0eaDpSzcgyvLhTp1zaII6QxsiuxujXfoNzC5wNfw4pdETDjih0W7kioEydlGeV5-q-tA5m3M3_jiVW0G3A1VA7M7YVJROJA==&uniplatform=NZKPT&language=CHS"
"特区展望","1009-3206","46-1024/C","海南省委宣传部","","","","社会科学II|经济与管理科学","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPcMrnM1wF-c18jDWoTmsOTy7SCMj7HqITSX1bxWYyBwwXbtaD7f3IGs5Wbj0AMiTJRXZu8EjXJWfJW7yJaIsfloMnaX2_qAR6oKdb-Z9zYrg==&uniplatform=NZKPT&language=CHS"
"特殊钢","1003-8620","42-1243/TF","大冶特殊钢有限公司","1.926","1.697","网络首发","工程科技I","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIN3J3Q2536tNJsbxVHTBRftVV38W_3rPAcGy7_EW5nfcKkgRURS52UGIrVIflvLUivEXnPqxhInulPb04_BVGQvocei8MMB8tW4QUN2s03y1A==&uniplatform=NZKPT&language=CHS"
"特种经济动植物","1001-4713","22-1155/S","中国农业科学院特产研究所","0.644","0.458","","农业科技","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMLKpzLjEJ2h9LEBLCKCDHmMsjUTpxPZiDozi27qbBWVscmtEha6k2wRBzo3KsifsKdJKLst06Gq10kgf_tooqHfIb6CzkqkkPtY1P5vxaCnA==&uniplatform=NZKPT&language=CHS"
